	Supplementary table 2_4: GO results of N-RNA (GO groups shown in Figure 2.2)						
	2.6E-02	162	1728	1.30	GO:0051707 response to other organism	http://amigo.geneontology.org/amigo/term/GO:0051707	LTF,TNK2,NOS1,HCK,TLR8,RELB,HAMP,TRIM14,FRK,TRIM38,IFIH1,CXCL6,IL37,APOBEC3F,PTPN22,OASL,TLR4,PARP9,HERC5,NLRC5,IFITM3,XCL1,SUSD4,GBP4,IFI16,CXCL3,PF4,SYK,CLEC4D,KLK5,CXCL11,NLRP6,YES1,APOBEC3B,SSC5D,FES,MX2,S100A14,APOBEC3D,APOBEC3C,IRAK3,TBK1,IFNE,UPF1,GRN,CYBA,ATG5,IFI35,HIF1A,EPPIN,RNF125,IL23A,CYP27B1,IL12B,RAB29,IRF3,VIL1,ZFP36,GCH1,EMILIN2,SERINC3,CH25H,ANXA3,SLC15A4,KLK3,LCN2,ANKRD1,SERPING1,IL18,FZD5,ZC3H12A,FPR2,H2BC4,HEXIM1,CD55,TBXA2R,HMGB3,PRDM1,IL4R,CD209,TYRO3,TREM2,COCH,NFKBIA,ACP5,WASL,TMEM33,UNC93B1,SLC15A3,POU2AF1,PTPN6,PRLR,STXBP3,ARHGEF2,CR2,CLU,LRAT,NMI,PTGER2,BECN1,VGF,EIF2AK4,APOE,AKAP12,LGALS3,SFTPD,IRF4,ITGAX,TNFRSF11A,VAV1,SIGLEC10,IL22RA1,OCIAD2,MFHAS1,NOCT,ADAM8,BANK1,MCOLN2,TIMP4,ADAR,IKZF3,SLC15A2,DTX3L,OTUD4,TLR3,CLDN3,MAP4K2,MLKL,PTAFR,PIK3CD,CEBPB,C1QA,PTPN2,PLAAT3,LACC1,ADGRB1,YTHDF3,PLA2G2A,LITAF,IL1RAP,ILRUN,MAP3K5,PLCG2,CD177,LGR4,MRC1,PNLIPRP2,SERPINE1,PVR,UBE2K,CEACAM1,SASH1,AKAP1,NR1D1,KRT8,SERPINB9,TREML1,EP300,XIAP,F12,PTPN11,CLEC2A
	2.6E-02	247	2507	1.23	GO:0003008 system process	http://amigo.geneontology.org/amigo/term/GO:0003008	USH1C,TBXA2R,GUCA1A,UTS2,CHRNA3,NOS1,HRH3,TJP3,CACNG7,SCN1B,MYL7,CHRNE,MYL2,GLP1R,DLGAP3,CHRNB4,TJP2,EDN3,CRYGN,ADM2,NGF,SPX,TPM1,STAC2,CACNG8,KLK3,CRHBP,TNFRSF21,KCNE4,KCNMA1,GHRL,F11R,MYL3,GABRG1,NETO1,TAC3,MYO1A,KLK2,DLGAP1,ADRA1D,ATP2A2,KCNE3,BDNF,AGTRAP,GRIN2A,GABRD,NTF4,TAS2R38,EMILIN2,SCNN1G,FLNA,RYR2,TGFB2,TREM2,NPTX2,CALCA,APOE,RAMP2,NLGN4X,PLCB3,NKX3-1,CST1,RNLS,MYH6,C2CD4B,GJA5,CD38,ITGA3,HEXB,LIMA1,CYBA,ATG5,SEZ6,KDM4A,PRKCZ,ROCK1,TMEM38A,FERMT2,ATP8B1,MYBPC2,AARS1,RPGRIP1,KCNK6,EP300,COCH,HIF1A,PPP1R13L,HAMP,PTPRZ1,DVL1,RGS9,ASIC2,SLC9A3R1,SOD3,TRPV4,PRPH2,CERT1,IL12B,FAAH,SLC8A2,TGFBI,PLS1,LRAT,GJA3,ACO1,CALD1,OR2B6,BMP4,MMP24,BECN1,GNG13,VIL1,NXNL2,NPAS1,AKAP12,C1QL1,AOC2,DIAPH1,RHPN2,GCH1,GUCY2D,PDE6B,KRAS,TLR4,PLCB2,PAK6,RDH12,ITGAX,ATP1B1,LRIG1,KDM6A,ADRA2A,THRB,FLI1,GRID2,HOMER1,JPH3,UCHL1,KIT,BRAF,S100A1,TAFA4,SLMAP,ZC3H12A,KLF15,NPY1R,ADGRV1,SPINK1,GRIK2,ARHGAP42,CACNB2,AMN,TPP1,LOXHD1,CHRM1,AR,RGS14,PTAFR,FAM161A,CEBPB,RAX2,TSPEAR,FOXC2,EPS8L2,GPR4,PTPN11,HTR1D,NRXN1,OR56B4,OR52N2,USH1G,CSMD1,TACSTD2,KCND2,PDE6G,PRKG1,NPSR1,P2RX2,CHM,HMX3,MME,MYO6,OR14A16,MBP,CNGA1,LRIG2,PRCD,STRC,ADRA2B,NR2E3,INHBA,GCLC,GCLM,DSG2,CHMP2B,SLC52A3,CRYM,MYH14,SH3GL2,LHCGR,JAKMIP1,CACNA2D1,CCDC78,PDE3A,JUP,ROR1,RTL4,NPTXR,ABCA7,CEACAM1,EIF2AK4,SLC15A2,RIMS2,CLDN4,SLC7A2,ABCC3,SLC38A1,SLC22A2,LEPR,SLC38A2,SLC22A3,SLC2A13,SLC16A12,SLC13A3,SLC7A3,AKR1C3,WDR1,MYL9,GPR143,RENBP,EMD,TULP2,EFEMP1,SGK1,TEK,GALR3,CNN1,RABGGTB,SIX3,SERPING1,DHRS3,MYO5B,NTSR2,COL4A3,SNTB1,HSPB7,YES1
	2.7E-02	332	3024	1.19	GO:0051239 regulation of multicellular organismal process	http://amigo.geneontology.org/amigo/term/GO:0051239	TBXA2R,WWC3,IRAK3,PROCR,PPP1R16B,TLR8,SCN1B,SERPINE1,IL23A,IFIH1,DLGAP3,TEK,PLAU,BHLHE41,ADM2,APOE,APOC1,PTPN22,NGF,SPX,SEMA6D,FGF2,TNFRSF11A,VASH2,CRHBP,TNFRSF21,WWC2,KCNE4,KCNMA1,ICOSLG,IFI16,SYK,BTNL9,NETO1,SEMA4C,BTNL3,SEMA3E,DLGAP1,ADRA1D,PDE3A,ATP2A2,KCNE3,BDNF,DAND5,THBS2,LITAF,SEMA4A,SIGLEC15,MAFG,ENPP1,PLCG2,MAFB,ACTB,HIF1A,BRMS1L,IL12B,DR1,IL18,GHRL,GRIN2A,RXRA,FLNA,RYR2,LTF,GRN,VCL,CYBA,FERMT2,FGFR1,F11,TESC,TGFB2,SIRT1,ANGPT4,RNF125,SFRP1,NPTX2,HTATIP2,CALCA,GLI1,SASH1,EFEMP1,ARHGEF2,MAD2L2,TNN,CLU,INHBA,ACVR1C,AGO2,EDN3,BMP4,IRF3,VIL1,ZFP36,F12,EMILIN2,TLR4,IRF4,FGFBP1,ANXA3,PRICKLE1,BRCA2,XCL1,NLGN4X,ADRA2A,KIT,S100A1,FZD5,PF4,ZC3H12A,TLR3,KLKB1,NKX3-1,COL4A3,CEBPB,HPSE,LACC1,ADGRB1,TBK1,RNLS,L3MBTL1,CD55,MYH6,MBP,ORM1,GJA5,CD38,CALCR,ITGA3,IL20RA,KPNA6,PRKCH,HMGB3,PIK3CB,PRDM1,ATG5,SPHK2,KDM4A,PRKCZ,TRPC5,TMEM38A,PANX2,WDR62,IL4R,THOC1,RIF1,KDM2B,TREM2,NFKBIA,MMP9,ACP5,FA2H,FGF21,HAMP,PTPRZ1,DVL1,BMPR1A,TNKS2,ASIC2,RND2,SLC9A3R1,POU2AF1,TRPV4,SH2B3,PTPN6,GLP1R,ACOT13,TRIM38,PRLR,ACVR2B,LEPR,MPL,FAAH,CHRNB4,SLC8A2,GPR68,PLS1,SOCS2,NMI,CXCL6,GPR18,OVOL2,GFRA4,NR1D1,BECN1,ELL3,SOX15,ZBTB46,AKAP12,RAMP2,PIAS3,GCH1,RNF128,KRAS,IL15RA,KIAA0319,CUL4A,IQGAP1,ITGAX,DEF8,ATP1B1,NFKBIZ,SERPING1,NOCT,THRB,ADAM8,SAV1,HOMER1,ZFP36L2,BANK1,MCOLN2,PPARGC1B,CD109,BRAF,F11R,ZBTB7B,IKZF3,DHRS3,MYSM1,FLVCR1,PKDCC,FRZB,TAFA4,HESX1,NPY1R,SPINK1,TERT,CITED2,OSR2,ARHGAP42,SPINT1,NDEL1,STAT6,AR,RGS14,PTAFR,USP50,SOCS5,LPAR3,RARG,PHOSPHO1,NLRP6,PTPN2,CLCF1,SFN,NUPR1,FOXC2,GPR4,MAF,PTPN11,ALOX15B,NRXN1,SSC5D,HCLS1,TMEM64,TACSTD2,PRKG1,IRS2,NPSR1,IL1RAP,XRCC2,ANXA4,CD2AP,TOX,LGR4,S1PR3,NFAM1,CEBPA,ADRA2B,ROCK1,IL37,CREB3L1,PIK3CD,JUP,MME,PROM1,DSG2,RORA,SULT2B1,RELB,MET,CAPRIN2,CYP27B1,ADTRP,GPLD1,STAT5A,PLAAT4,C5AR2,MYC,ZNF750,PRUNE1,PTPRG,TCF7L2,GRID2,CACNA2D1,MAPK13,MYL3,PRKCI,SGMS2,CACNB2,RHOH,FUT1,ETV4,ALX1,FES,ILRUN,NPTXR,ABCA7,CEACAM1,CHRNA3,NOS1,MYL2,ALMS1,TMBIM1,TPM1,LCN2,HHEX,ACOT11,HIPK1,ADGRV1,KSR2,RIMS2,SHTN1,SPRED3,SFTPD,KLK3,MYL9,EBI3,SGK1,CNN1,HSPB7,TNFSF12
	2.8E-02	79	558	1.47	GO:0072507 divalent inorganic cation homeostasis	http://amigo.geneontology.org/amigo/term/GO:0072507	CALCR,TBXA2R,ATP2C1,TRPC5,SLC8B1,TRPM7,CALCA,TRPV4,SLC8A2,PKD2,EDN3,MT1G,GPR18,PTGER2,C5AR2,TMEM165,TRPC6,SLC39A5,TRPM2,FATE1,CACNA1B,ATP13A2,CD52,MT1E,SLC30A1,FPR2,ADRA1D,ATP2A2,GPR4,MT1X,NPSR1,FPR3,MT1H,MT1HL1,AKAP5,FLNA,RYR2,GLP1R,FGF2,XCL1,CXCL11,CD19,GRIN2A,CD55,PLCG2,TUNAR,CD38,HEXB,PIK3CB,CYBA,MCOLN3,ATG5,GNA15,TMEM38A,PTPN6,APOE,SWAP70,LHCGR,METTL21C,SYPL2,ATP1B1,MCOLN2,JPH3,GHRL,SV2A,SPINK1,GRIK2,CACNB2,BOK,TMEM64,CYP27B1,DIAPH1,CACNA2D1,P2RX2,S100A14,NOS1,JPH1,LPAR3,S1PR3
	2.8E-02	104	835	1.39	GO:0043086 negative regulation of catalytic activity	http://amigo.geneontology.org/amigo/term/GO:0043086	DBNDD1,IRAK3,RFFL,EPPIN,SERPINE1,CBL,CAAP1,SPINK2,APOC1,PKIB,CBLC,SERPING1,TIMP4,SERPINB9,HEXIM1,SPRY4,DBNDD2,LGALS3,LTF,PPP1R12A,SPHK2,ARFGEF1,TGFB2,SIRT1,XIAP,DVL1,CYP27B1,MAD2L2,BMP4,APOE,PARP9,PIF1,HHEX,UCHL1,BUB3,BUB1B,ADAR,IFI16,SOCS5,SFN,SOCS4,PTPRT,ANOS1,PIK3CB,TNK2,PRKCZ,ROCK1,TESC,RENBP,SFRP1,SH2B3,PTPN6,PHACTR2,LEPR,TNFSF14,VIL1,ZFP36,GALR3,NGF,PI15,ANXA3,IQGAP1,IQGAP2,CD109,UBE2Z,ADGRV1,SPINK1,LMTK2,INTS1,SPINT1,A2ML1,ELFN2,DUS2,RHOH,COL4A3,RGS14,CST1,PDZD3,WFIKKN2,CST6,PTPN2,PDE6G,IRS2,ANXA4,INKA2,STYX,PLIN5,FNIP1,TEN1,DPEP1,CD44,PPP2R5A,GSKIP,MMP9,PTPN22,F11R,DTX3L,PIP4K2C,AKAP5,CEACAM1,NOS1,TMBIM1,BICD1,CEBPA
	2.8E-02	38	219	1.78	GO:0045216 cell-cell junction organization	http://amigo.geneontology.org/amigo/term/GO:0045216	OCEL1,TJP3,LSR,TJP2,CDHR3,CLDN10,CDH22,CLDN14,CLDN3,CLDN22,PKP3,CLDN6,CLDN4,CD177,CLDN23,WDR1,TGFB2,RAMP2,MPP7,JUP,GJA5,FERMT2,TRPV4,PERP,XIRP2,FZD5,HIPK1,FLNA,ROCK1,PRKCH,VCL,DSG2,ACTB,F11R,PRKCI,STRN,NLGN4X,TLN1
	3.0E-02	452	4338	1.15	GO:0048583 regulation of response to stimulus	http://amigo.geneontology.org/amigo/term/GO:0048583	ATP2C1,TRIM38,ZDHHC13,LITAF,FLNA,ARHGAP44,CD44,GRN,WWC3,TLE2,RORA,LLGL2,TRAF5,TRIP6,MAPKAPK5,IRAK3,RFFL,TGFB2,TREM2,GRK3,GSKIP,GPR143,TLR8,XIAP,EMD,SFRP1,CACNG7,MET,SERPINE1,TRIM14,TNKS2,UNC93B1,CBL,CAPRIN2,IL23A,SASH1,GRB14,FHL2,DLGAP3,ARHGEF2,CR2,TEK,CAAP1,INHBA,PLAU,ARHGAP40,DOK4,GPR18,BMP4,RHBDF2,CRACR2A,THEMIS2,AKAP12,EPS8L1,LGALS3,PTPN22,C5AR2,TMBIM1,GH2,TLR4,UACA,PAK6,SEMA6D,DUSP5,PARP9,HERC5,FGF2,NLRC5,MINK1,PIK3R5,IGFBP4,CBLC,CACNG8,XCL1,SUSD4,CRHBP,ARMT1,CSNK1G3,WWC2,SLC25A4,BEND6,BANK1,GHRL,KIT,ICOSLG,FGFR4,LEMD2,DHRS3,FRZB,TGFA,CCNYL1,IFI16,OTUD4,DACT2,SYK,BTNL9,NETO1,KLK5,IGFBP6,SEMA4C,BTNL3,SEMA3E,DLGAP1,FPR2,ADRA1D,PDE3A,WFIKKN2,RMI2,EPS8L2,CD19,GPR4,DAND5,SHISA2,FES,IFNE,ROR1,PDE6G,FPR3,SPRY4,SPRED3,S100A14,SEMA4A,CD55,ALKAL1,CR1L,STYX,CD177,LEPROT,SHISA8,NFAM1,ALS2,ACTB,HIF1A,BRMS1L,IL12B,MAD2L2,APOE,BRCA2,IL18,HOMER1,MAPK13,TLR3,C1QA,JUP,AKAP5,GRIN2A,TRRAP,LTF,POLQ,CYBA,ATG5,IFI35,PVR,FERMT2,JADE1,FGFR1,PIAS2,CEACAM1,RIF1,F11,ICAM1,SIRT1,EP300,NFKBIA,RSPO4,RNF125,SALL1,FGF21,NPTX2,SPIN1,BMPR1A,SLC9A3R1,TMEM33,BST1,CALCA,VWF,CYP27B1,GLI1,PTPN6,CCNC,GPLD1,PRLR,ACVR2B,IFIH1,ZP4,NMI,EDN3,TNFSF14,OVOL2,IRF3,APOBEC3F,KLK14,F12,EMILIN2,WBP2,LGR6,OASL,MYC,PRICKLE1,SLC15A4,BRD4,KLK3,ASXL2,PLA2G7,NLGN4X,IGSF1,NACC2,ANKRD1,SERPING1,ADRA2A,THRB,UCHL1,CD109,SMG1,RBPMS,CREB3L1,BRAF,HTR6,F11R,ANKLE1,NEK8,FZD5,HIPK1,PF4,ZC3H12A,KLKB1,CITED2,FBP1,NKX3-1,PSCA,MAP4K2,RHOH,AR,NR0B1,SOCS5,PDZD3,HPSE,NLRP6,PTPN2,SLC38A9,PTPN11,LACC1,NRXN1,SOCS4,LYNX1,SOX2,RXRA,HEXIM1,PLA2G2A,PTPRT,AKR1C3,TRIM33,ENPP1,PLCG2,RASGEF1A,LGR4,C2CD4B,FNIP1,TNFSF12,USP51,ADRA2B,GCLC,ITGA3,TBXA2R,IL20RA,GCLM,GUCA1A,MAPK9,PIK3CB,SEZ6,SPHK2,KIF26A,ARFGEF1,PRKCZ,EPHA8,IL4R,THOC1,SLC8B1,TYRO3,COCH,ACP5,PPP2CB,FCER2,HAMP,DLX5,DVL1,RGS9,SLC15A3,TRPV4,SH2B3,CTH,CD48,ARTN,SLC8A2,HELLS,TNN,SOCS2,CLU,IQSEC2,CXCL6,NR1D1,BECN1,VIL1,ZFP36,ELL3,SOX15,RAMP2,SERINC3,KRAS,SWAP70,MBD2,ELP2,KIAA0319,IRF4,FGFBP1,LHCGR,USO1,CUL4A,GAS8,TNFRSF11A,VAV1,TRPM2,NFKBIZ,ARHGAP26,TNFRSF21,MFHAS1,CNKSR2,ADAM8,GRID2,ZBTB7B,ADAR,RNF149,TAFA4,KLF15,NPY5R,SPINK1,TERT,ARHGAP42,PLEKHF1,CLEC4D,NDEL1,STAT6,RGS14,PTAFR,CAVIN4,LPAR3,CEBPB,NRROS,ATP2A2,NR1D2,SEZ6L2,CLCF1,NUPR1,FOXC2,BOK,PAWR,ZBTB7A,ALOX15B,TMEM64,TBK1,CHEK2,YTHDF3,NPSR1,STRN3,MAP3K5,SIPA1L1,APCDD1L,LRIG2,SIPA1,PLIN5,CEBPA,CALCR,IL37,DTX3L,PIK3CD,CASP10,CD38,DDX11,PRKCH,PNKP,ROCK1,UBE2K,ZFAND6,ITGA6,PCDH11Y,MMP9,PPP1R16B,ADTRP,GOLPH3,RAB29,PKD2,ADGRE2,CHAC1,GCH1,LARS1,SLC38A2,USP8,IQGAP1,TCF7L2,HHEX,DEDD2,SQSTM1,CLDN3,ARHGAP12,VWA2,STX3,PIP4K2C,KMT2D,FEM1B,SERPINB9,TSPEAR,HCLS1,PRKG1,CLDN4,NCOR2,ILRUN,CD2AP,NPTXR,SIGLEC10,ABCA7,STXBP2,SCTR,WDR11,EIF2AK4,NGF,SPX,OCIAD2,BICD1,SLC15A2,ADGRV1,HTRA4,RIMS2,BDNF,SENP2,CYP26C1,P2RX2,CAPN1,USP2,UBE2D1,HCK,SGK1,GUCY2D,DOCK2,FGD4,ARHGEF19,CAMKMT,PRKCI,RHOD,YES1,GNG7,WWP2,ARHGEF15
	3.1E-02	261	2427	1.21	GO:0048584 positive regulation of response to stimulus	http://amigo.geneontology.org/amigo/term/GO:0048584	ATP2C1,TRIM38,ZDHHC13,LITAF,FLNA,CD44,TRAF5,TRIP6,TGFB2,TREM2,XIAP,MET,TRIM14,TNKS2,CAPRIN2,IL23A,SASH1,CR2,TEK,INHBA,DOK4,GPR18,BMP4,CRACR2A,THEMIS2,PTPN22,C5AR2,GH2,PARP9,FGF2,PIK3R5,XCL1,SUSD4,CSNK1G3,KIT,ICOSLG,FGFR4,TGFA,IFI16,SYK,BTNL9,NETO1,KLK5,BTNL3,FPR2,ADRA1D,CD19,GPR4,ROR1,PDE6G,FPR3,S100A14,CD55,ALKAL1,CR1L,CD177,NFAM1,ALS2,ACTB,HIF1A,SERPINE1,IL12B,MAD2L2,PLAU,TLR4,IL18,HOMER1,MAPK13,GHRL,TLR3,C1QA,JUP,AKAP5,GRIN2A,LTF,CYBA,IFI35,PVR,FERMT2,FGFR1,CEACAM1,RIF1,SIRT1,EP300,GSKIP,NFKBIA,RSPO4,TLR8,SALL1,SFRP1,FGF21,SPIN1,BMPR1A,SLC9A3R1,TMEM33,VWF,CYP27B1,GLI1,GPLD1,PRLR,ACVR2B,ZP4,NMI,EDN3,TNFSF14,KLK14,F12,EMILIN2,WBP2,LGR6,OASL,MYC,SLC15A4,NLRC5,BRD4,KLK3,ASXL2,PLA2G7,NACC2,ANKRD1,SERPING1,ADRA2A,THRB,RBPMS,BRAF,HTR6,F11R,ANKLE1,FZD5,ZC3H12A,CITED2,NKX3-1,IGFBP6,MAP4K2,SEMA4C,SEMA3E,HPSE,NLRP6,SLC38A9,PTPN11,NRXN1,SOX2,RXRA,HEXIM1,PLA2G2A,AKR1C3,TRRAP,PLCG2,RASGEF1A,LGR4,C2CD4B,FNIP1,TNFSF12,ADRA2B,TBXA2R,IL20RA,GUCA1A,MAPK9,PIK3CB,SPHK2,PRKCZ,EPHA8,IL4R,COCH,FCER2,DLX5,DVL1,SLC15A3,TRPV4,PTPN6,CTH,ARTN,CLU,IRF3,BECN1,AKAP12,SERINC3,KRAS,SWAP70,MBD2,FGFBP1,LHCGR,GAS8,TNFRSF11A,IGFBP4,VAV1,NFKBIZ,TNFRSF21,MFHAS1,ADAM8,BANK1,ZBTB7B,NPY5R,TERT,PLEKHF1,CLEC4D,NDEL1,STAT6,AR,PTAFR,SOCS5,LPAR3,CEBPB,PTPN2,CLCF1,NUPR1,FOXC2,BOK,PAWR,ALOX15B,TBK1,NPSR1,MAP3K5,CEBPA,CALCR,KIAA0319,PIK3CD,CASP10,CD38,DDX11,PRKCH,PNKP,ARFGEF1,ROCK1,UBE2K,ICAM1,PCDH11Y,MMP9,CBL,GOLPH3,IFIH1,RAB29,PKD2,APOE,LARS1,USP8,IQGAP1,MINK1,TCF7L2,HHEX,DEDD2,DTX3L,CLDN3,STX3,KMT2D,HCLS1,CLDN4,GRN,ABCA7,SCTR,EIF2AK4,LGALS3,NGF,OCIAD2,ADGRV1,RIMS2,P2RX2,HCK,PRKCI,YES1,BDNF
	3.2E-02	39	298	1.75	GO:0034612 response to tumor necrosis factor	http://amigo.geneontology.org/amigo/term/GO:0034612	TRAF5,TNFRSF11A,XCL1,MAP4K3,SIRT1,TCL1A,NFKBIA,XIAP,SFRP1,ZFP36,GCH1,CRHBP,TNFRSF21,ANKRD1,ZFP36L2,HIPK1,ZC3H12A,CYBA,RORA,ASAH1,HAMP,CALCA,KRT18,NR1D1,AKAP12,PIAS3,PTPN2,MAP3K5,MBP,CEBPA,NKX3-1,PPP2CB,UBE2K,ZFAND6,RFFL,CARD14,SYK,KRT8,ARHGEF2
	3.2E-02	163	1318	1.29	GO:0042325 regulation of phosphorylation	http://amigo.geneontology.org/amigo/term/GO:0042325	DBNDD1,FGF22,EPHA8,FGFR1,IRAK3,TYRO3,TGFB2,TREM2,TCL1A,VAC14,FGF21,MET,CBL,IL23A,FGF6,SASH1,TEK,INHBA,BMP4,SH2D3A,ATG14,NGF,PKIB,GH2,FGF2,PIK3R5,CBLC,KIT,FGFR4,TGFA,CCNYL1,LMTK2,CLCF1,BDNF,IFNE,INPP5J,ROR1,HEXIM1,SPRY4,NTF4,DBNDD2,HIF1A,ALS2,LTF,CD44,TNK2,UBE2K,SIRT1,EP300,ANGPT4,SFRP1,DVL1,BMPR1A,BST1,CALCA,CAPRIN2,IL12B,PRLR,RAD50,ARHGEF2,MAD2L2,LEPR,EDN3,APOE,NLRC5,CARD14,BRD4,ADRA2A,IL18,HHEX,UCHL1,PROM2,RBPMS,BRAF,ADAR,FBP1,NKX3-1,MAP4K2,SOCS5,SYNPO2,PTPN2,NRXN1,SOCS4,PTPRT,MAP3K5,ENPP1,FNIP1,ADRA2B,PIK3CB,PRKCZ,ROCK1,TRPC5,TLR8,EHD4,SLC9A3R1,SH2B3,PTPN6,ACVR2B,SLC8A2,SOCS2,RAP2C,SDC4,HSPA2,EIF2AK4,PTPN22,NIBAN1,ABI1,TLR4,IQGAP1,ADAM8,RANBP2,PPARGC1B,CD109,GHRL,SQSTM1,FZD5,ZC3H12A,SPINK1,SYK,RGS14,SFN,YES1,CD19,HCLS1,CHEK2,IRS2,ALKAL1,PLCG2,SPDYC,CALCR,FPR2,PPP2R5A,FERMT2,NOS1,ITGA6,GSKIP,MMP9,SH3GL2,ADTRP,PKD2,CLU,KRAS,PARP9,TNFRSF11A,BANK1,CLDN3,NSD1,PIP4K2C,PIP5KL1,AR,NUPR1,ZBTB7A,PTPN11,ACTB,CEACAM1,CHRNA3,CREBL2,TNFRSF10A,TLR3,TBK1,PKMYT1,HERC5,CEBPA
	3.5E-02	39	302	1.74	GO:0045088 regulation of innate immune response	http://amigo.geneontology.org/amigo/term/GO:0045088	PARP9,NLRC5,SUSD4,IFI16,PTPN22,GRN,IFI35,TLR8,IL12B,SLC15A4,SERPING1,FPR2,HEXIM1,ATG5,IRAK3,TYRO3,TREM2,COCH,NMI,IRF3,APOE,TLR4,VAV1,ADAM8,ADAR,SYK,PTPN2,TBK1,YTHDF3,PLCG2,PVR,UBE2K,CEACAM1,SERPINB9,EP300,HCK,XIAP,PTPN6,PTPN11
	3.6E-02	41	251	1.71	GO:0050817 coagulation	http://amigo.geneontology.org/amigo/term/GO:0050817	VCL,ACTB,MYL9,TLN1,FLNA,TYRO3,PROCR,VWF,PLAU,PROZ,F12,TREML1,SYK,SERPINE1,F11,APOE,EMILIN2,F11R,PF4,KLKB1,HPSE,TBXA2R,PIK3CB,ENTPD2,DGKA,SH2B3,PTPN6,MPL,TLR4,SERPING1,ADRA2A,ANXA4,ADRA2B,ADTRP,STXBP3,PRKG1,CEACAM1,ENTPD1,VAV1,JMJD1C,PLCG2
	3.6E-02	55	459	1.58	GO:0002697 regulation of immune effector process	http://amigo.geneontology.org/amigo/term/GO:0002697	IL23A,CR2,PTPN22,SUSD4,SYK,KLK5,FES,CD55,CR1L,CD177,GRN,PVR,CEACAM1,TGFB2,IL12B,MAD2L2,KLK3,XCL1,SERPING1,IL18,KIT,FZD5,LACC1,ATG5,SPHK2,PRKCZ,IL4R,THOC1,RIF1,IRAK3,TREM2,SIRT1,ACP5,FCER2,PTPN6,CXCL6,TLR4,SLC15A4,VAV1,NFKBIZ,ZBTB7B,ZC3H12A,TLR3,STAT6,PTAFR,SOCS5,CLCF1,LITAF,PLCG2,ADGRE2,SERPINB9,STXBP2,LGALS3,IRF4,ICAM1
	3.7E-02	51	384	1.60	GO:0008544 epidermis development	http://amigo.geneontology.org/amigo/term/GO:0008544	USH1C,OVOL2,KLK14,ZNF750,KRT8,KRTDAP,MYO6,MAFG,TGFB2,GLI1,INHBA,BMP4,HPSE,PRKCH,MCOLN3,DLX3,FA2H,CNFN,SLC9A3R1,IRF6,PLS1,TGM3,FGF2,SAV1,CERS3,CD109,MYSM1,CLIC4,CST6,SFN,ALOX15B,POU3F1,MAFB,LGR4,NTF4,STRC,AKR1C3,ATP2C1,ROCK1,SULT2B1,ASAH1,CYP27B1,ZFP36,PLAAT4,ETV4,LAMC2,POU2F3,KLK5,KRT15,ATP2A2,GJB5
	3.7E-02	179	1478	1.27	GO:0019220 regulation of phosphate metabolic process	http://amigo.geneontology.org/amigo/term/GO:0019220	DBNDD1,PPP1R12A,FGF22,EPHA8,FGFR1,NOS1,IRAK3,TYRO3,TGFB2,TREM2,TCL1A,PPP1R16B,VAC14,FGF21,MET,PPP6R3,CBL,IL23A,FGF6,SASH1,TEK,INHBA,BMP4,SH2D3A,ATG14,NGF,PKIB,GH2,FGF2,PIK3R5,CBLC,KIT,FGFR4,TGFA,CCNYL1,LMTK2,CLCF1,BDNF,IFNE,INPP5J,ROR1,HEXIM1,SPRY4,NTF4,DBNDD2,HIF1A,LGALS3,ALS2,LTF,CD44,TNK2,UBE2K,SIRT1,EP300,ANGPT4,SFRP1,DVL1,BMPR1A,BST1,CALCA,CAPRIN2,IL12B,PRLR,RAD50,ARHGEF2,MAD2L2,LEPR,EDN3,APOE,APOC1,NLRC5,CARD14,BRD4,ADRA2A,IL18,HHEX,UCHL1,PROM2,RBPMS,BRAF,CDA,ADAR,FBP1,NKX3-1,MAP4K2,SOCS5,SYNPO2,PTPN2,NRXN1,SOCS4,PTPRT,MAP3K5,ENPP1,FNIP1,ADRA2B,GUCA1A,PIK3CB,SPHK2,PRKCZ,ROCK1,TRPC5,TLR8,EHD4,SLC9A3R1,SH2B3,PTPN6,ACVR2B,SLC8A2,SOCS2,RAP2C,SDC4,HSPA2,EIF2AK4,SWAP70,PTPN22,NIBAN1,ABI1,TLR4,LHCGR,IQGAP1,ADAM8,RANBP2,PPARGC1B,CD109,GHRL,SQSTM1,FZD5,ZC3H12A,SPINK1,SYK,RGS14,PTAFR,PDZD3,SFN,YES1,CD19,LACC1,HCLS1,CHEK2,IRS2,ALKAL1,PLCG2,SPDYC,CALCR,FPR2,PPP2R5A,FERMT2,ITGA6,GSKIP,MMP9,SH3GL2,ADTRP,PKD2,CLU,KRAS,PARP9,TNFRSF11A,MFHAS1,BANK1,CLDN3,NSD1,PIP4K2C,PIP5KL1,AR,NUPR1,ZBTB7A,PTPN11,ACTB,CEACAM1,CHRNA3,CREBL2,GPLD1,TNFRSF10A,TLR3,TBK1,PKMYT1,HERC5,ACMSD,CEBPA
